Client_Number,Report_Number,RX_Type,Data_Date,Category,Product_Group,Bucket01,Bucket24,Bucket25,Prescriber_Name,Prescriber_Address,Prescriber_ZIP,SRA1_IMS_Doctor#,SRA2_Specialty,Client_Data
C336,R9710,T,20250111,3,173,0,27,27,Cynthia Graves,"1646 Samuel Crescent Suite 809, New York, NY, 10001",10001,ID00095,NEP,Unaware
C888,R6298,T,20250328,3,172,0,21,21,James Rhodes,"28272 Mary Lane, Houston, TX, 77001",77001,ID00136,CAR,Competitor Loyalist
C786,R3002,B,20250315,3,171,18,40,58,Jillian Hall,"63505 Sheryl Mountains, Seattle, WA, 98101",98101,ID00015,CAR,High-Volume Loyalist
C319,R9834,B,20250129,2,171,20,45,65,Andrea Miller,"677 Johnson Rue, Chicago, IL, 60601",60601,ID00003,END,High-Volume Loyalist
C687,R6431,T,20250305,2,171,0,0,0,Jessica Matthews,"0909 Miller Dam Apt. 891, Los Angeles, CA, 90001",90001,ID00130,END,Competitor Loyalist
C654,R7014,T,20250413,2,172,0,17,17,Tiffany Gonzalez,"266 Robertson Heights, Los Angeles, CA, 90001",90001,ID00092,END,Unaware
C430,R7714,T,20250318,2,173,0,30,30,Manuel Young,"36774 James Fords Apt. 798, New York, NY, 10001",10001,ID00093,NEP,Unaware
C754,R1349,B,20250110,3,171,13,50,63,Mariah Bailey,"1518 Austin Knoll, Philadelphia, PA, 19103",19103,ID00013,CAR,High-Volume Loyalist
C921,R6772,B,20250415,2,171,13,49,62,John Villa,"71110 Garza Ridge Apt. 137, Los Angeles, CA, 90001",90001,ID00012,NEP,High-Volume Loyalist
C665,R6343,N,20250110,2,171,14,0,14,Robert Ramirez,"28928 Jeffrey Circle Apt. 512, Atlanta, GA, 30301",30301,ID00052,NEP,New Adopter
C819,R7459,T,20250129,2,173,0,13,13,Michelle Ross,"5963 Connor Spring, Houston, TX, 77001",77001,ID00127,NEP,Competitor Loyalist
C578,R2240,T,20250131,2,173,0,23,23,James Rhodes,"28272 Mary Lane, Houston, TX, 77001",77001,ID00136,CAR,Competitor Loyalist
C486,R1665,N,20250122,1,171,9,0,9,Jeremy Haynes,"4394 Gray Manor, New York, NY, 10001",10001,ID00065,NEP,New Adopter
C686,R7456,T,20250114,1,172,0,14,14,John Walsh,"0193 Mcclain Circles Suite 081, Philadelphia, PA, 19103",19103,ID00069,END,Aware Non-Prescriber
C893,R6004,B,20250227,2,171,0,0,0,Bonnie Davis,"5907 Angela Valley, New York, NY, 10001",10001,ID00071,END,Aware Non-Prescriber
C580,R8843,B,20250112,1,171,19,39,58,Clinton Diaz,"85425 Laura Summit Suite 944, Philadelphia, PA, 19103",19103,ID00009,END,High-Volume Loyalist
C694,R9869,N,20250323,1,171,0,0,0,Mrs. Kristin Rodriguez,"484 Caldwell Ways Apt. 822, New York, NY, 10001",10001,ID00105,NEP,Unaware
C327,R4519,N,20241230,2,171,0,0,0,James Steele,"0564 Katherine Tunnel Apt. 235, Atlanta, GA, 30301",30301,ID00097,END,Unaware
C749,R3360,B,20250410,3,171,0,0,0,John Walsh,"0193 Mcclain Circles Suite 081, Philadelphia, PA, 19103",19103,ID00069,END,Aware Non-Prescriber
C799,R7390,T,20250128,2,172,0,19,19,Sandra Mccoy,"96055 Megan Valley, Seattle, WA, 98101",98101,ID00133,CAR,Competitor Loyalist
C611,R2163,B,20250303,2,171,5,13,18,Christopher Gamble,"53267 Kathleen Extension, Chicago, IL, 60601",60601,ID00042,CAR,Low-Volume Prescriber
C248,R9690,T,20250228,2,171,0,0,0,Sandra Mccoy,"96055 Megan Valley, Seattle, WA, 98101",98101,ID00133,CAR,Competitor Loyalist
C698,R7408,T,20250131,3,173,0,21,21,Devin Watkins,"915 Alejandro Dam Suite 837, Seattle, WA, 98101",98101,ID00134,CAR,Competitor Loyalist
C553,R6772,T,20250308,3,173,0,27,27,John Garcia,"59147 Keith Drives, New York, NY, 10001",10001,ID00096,CAR,Unaware
C151,R3752,N,20250114,1,171,15,0,15,Ariana Bailey,"84002 Phillips Camp, Chicago, IL, 60601",60601,ID00046,END,New Adopter
C931,R2015,N,20250304,2,171,0,0,0,Lori Clark,"889 Curtis Summit Apt. 266, Atlanta, GA, 30301",30301,ID00104,NEP,Unaware
C874,R1745,T,20250322,3,171,0,0,0,Dr. Joseph Hughes,"89401 Robert Run Apt. 512, Atlanta, GA, 30301",30301,ID00068,CAR,Aware Non-Prescriber
C207,R5840,B,20250118,2,171,5,17,22,Holly Johnson,"364 Donald Locks Suite 870, Seattle, WA, 98101",98101,ID00036,NEP,Low-Volume Prescriber
C795,R8371,B,20250312,1,171,19,34,53,Dr. Cynthia Miller,"725 Mills Forge, Seattle, WA, 98101",98101,ID00020,NEP,High-Volume Loyalist
C107,R9161,T,20250222,3,172,0,12,12,Renee Montoya,"42137 Susan Groves Suite 215, Houston, TX, 77001",77001,ID00129,NEP,Competitor Loyalist
C658,R5813,B,20250109,2,171,19,35,54,Dr. Cynthia Miller,"725 Mills Forge, Seattle, WA, 98101",98101,ID00020,NEP,High-Volume Loyalist
C137,R3319,T,20250427,1,172,0,24,24,Michael Garcia,"29926 Kathryn Overpass, Los Angeles, CA, 90001",90001,ID00140,END,Competitor Loyalist
C327,R4519,T,20241230,2,172,0,19,19,James Steele,"0564 Katherine Tunnel Apt. 235, Atlanta, GA, 30301",30301,ID00097,END,Unaware
C747,R8175,T,20250302,1,173,0,23,23,Tina Reed,"19172 Miller Vista, Philadelphia, PA, 19103",19103,ID00139,END,Competitor Loyalist
C577,R6145,B,20250118,1,171,6,17,23,Michael Campbell,"272 Glass Prairie, Atlanta, GA, 30301",30301,ID00045,END,Low-Volume Prescriber
C689,R9269,T,20250225,3,172,0,20,20,Katrina Torres,"4105 King Ridges Apt. 254, Seattle, WA, 98101",98101,ID00099,NEP,Unaware
C656,R6696,T,20250312,1,173,0,12,12,Stephen Lopez,"736 Graham Inlet, Atlanta, GA, 30301",30301,ID00091,CAR,Unaware
C526,R2974,T,20250212,2,173,0,23,23,Karen Moore,"1184 Rachel Mountains Apt. 047, Philadelphia, PA, 19103",19103,ID00098,NEP,Unaware
C672,R2185,T,20250220,3,172,0,11,11,Paul Solomon,"98394 Leroy Garden Apt. 332, Houston, TX, 77001",77001,ID00079,END,Aware Non-Prescriber
C138,R2433,B,20250226,3,171,0,0,0,Dr. Joseph Hughes,"89401 Robert Run Apt. 512, Atlanta, GA, 30301",30301,ID00068,CAR,Aware Non-Prescriber
C989,R5713,T,20250427,1,173,0,22,22,John Thomas,"03583 Duncan Walk Apt. 643, Seattle, WA, 98101",98101,ID00102,CAR,Unaware
C536,R2898,N,20250411,3,171,13,0,13,Jocelyn Norris,"170 Bonnie Isle Apt. 987, New York, NY, 10001",10001,ID00060,END,New Adopter
C819,R7459,T,20250129,2,173,0,11,11,Michelle Ross,"5963 Connor Spring, Houston, TX, 77001",77001,ID00127,NEP,Competitor Loyalist
C439,R6793,N,20250313,3,171,0,0,0,Adam Reed,"091 Hale Junctions Apt. 822, Philadelphia, PA, 19103",19103,ID00118,CAR,Managed Care Restricted
C678,R3450,T,20250208,3,173,0,12,12,Katrina Torres,"4105 King Ridges Apt. 254, Seattle, WA, 98101",98101,ID00099,NEP,Unaware
C896,R4311,N,20250409,1,171,0,0,0,Joy Diaz,"140 Donna Trafficway, Los Angeles, CA, 90001",90001,ID00119,CAR,Managed Care Restricted
C206,R8306,T,20250111,3,172,0,10,10,John Church,"5132 Crystal Prairie, Los Angeles, CA, 90001",90001,ID00135,NEP,Competitor Loyalist
C522,R4080,T,20250412,2,172,0,26,26,David Mccoy,"65524 Thomas Track, Chicago, IL, 60601",60601,ID00086,CAR,Unaware
C156,R9185,B,20250303,2,171,9,15,24,Scott Turner,"0766 Schneider Ways, New York, NY, 10001",10001,ID00043,CAR,Low-Volume Prescriber
C580,R8438,T,20250408,1,171,0,0,0,Jessica Matthews,"0909 Miller Dam Apt. 891, Los Angeles, CA, 90001",90001,ID00130,END,Competitor Loyalist
C587,R9724,T,20250228,2,173,0,14,14,Sandra Mccoy,"96055 Megan Valley, Seattle, WA, 98101",98101,ID00133,CAR,Competitor Loyalist
C366,R2006,T,20250402,3,172,0,10,10,Luis Lozano,"59703 David Ford Apt. 715, Los Angeles, CA, 90001",90001,ID00131,END,Competitor Loyalist
C536,R9976,B,20250405,2,171,19,46,65,Kristin Elliott,"294 Schroeder Garden Apt. 703, Houston, TX, 77001",77001,ID00006,END,High-Volume Loyalist
C986,R3616,B,20250419,3,171,8,13,21,Dr. Ann Richards,"943 Valdez Haven, Chicago, IL, 60601",60601,ID00023,NEP,Low-Volume Prescriber
C897,R2324,N,20250419,3,171,10,0,10,Karla Johnson,"53763 Lisa Lake Apt. 638, Houston, TX, 77001",77001,ID00056,NEP,New Adopter
C331,R4044,T,20250217,2,171,0,0,0,Renee Montoya,"42137 Susan Groves Suite 215, Houston, TX, 77001",77001,ID00129,NEP,Competitor Loyalist
C313,R8746,N,20250306,3,171,0,0,0,Amy Terry,"7327 Gary Ways Suite 354, Seattle, WA, 98101",98101,ID00089,NEP,Unaware
C738,R9369,T,20250316,1,172,0,11,11,Timothy Mccarthy,"3359 Harrell Center, Atlanta, GA, 30301",30301,ID00075,END,Aware Non-Prescriber
C999,R5644,T,20250219,3,172,0,17,17,Peter Morse,"83908 Garcia Turnpike, Chicago, IL, 60601",60601,ID00074,CAR,Aware Non-Prescriber
C993,R5348,T,20250129,3,171,0,0,0,Valerie Smith,"2865 Rodriguez Pike Apt. 296, New York, NY, 10001",10001,ID00080,NEP,Aware Non-Prescriber
C758,R8517,B,20250126,3,171,17,42,59,Michelle Elliott,"8851 Kevin Cliff, Atlanta, GA, 30301",30301,ID00001,CAR,High-Volume Loyalist
C567,R5850,N,20250424,2,171,11,0,11,Vincent Sanders,"5175 Lance Hills, Houston, TX, 77001",77001,ID00059,NEP,New Adopter
C816,R6412,N,20250218,1,171,0,0,0,Jean Christian,"8530 Mata Shores, Los Angeles, CA, 90001",90001,ID00123,END,Managed Care Restricted
C552,R5201,B,20250204,3,171,5,15,20,Nicholas Kelley,"579 Scott Squares, Los Angeles, CA, 90001",90001,ID00025,END,Low-Volume Prescriber
C848,R3103,N,20250328,3,171,10,0,10,John Allen,"6872 Katie Ford, Houston, TX, 77001",77001,ID00063,CAR,New Adopter
C278,R6922,B,20250331,3,171,10,20,30,Ricky Harris,"082 Sanchez River, Chicago, IL, 60601",60601,ID00021,NEP,Low-Volume Prescriber
C292,R2978,N,20250112,2,171,11,0,11,Cynthia French,"3991 Brennan Underpass, Philadelphia, PA, 19103",19103,ID00062,END,New Adopter
C303,R9202,T,20250110,1,172,0,23,23,Lori Clark,"889 Curtis Summit Apt. 266, Atlanta, GA, 30301",30301,ID00104,NEP,Unaware
C492,R4826,B,20250420,1,171,13,48,61,Mark Hunt,"050 Smith Land Apt. 308, Seattle, WA, 98101",98101,ID00011,END,High-Volume Loyalist
C373,R2610,T,20250210,2,173,0,26,26,Devin Watkins,"915 Alejandro Dam Suite 837, Seattle, WA, 98101",98101,ID00134,CAR,Competitor Loyalist
C932,R7637,T,20250423,1,172,0,17,17,Bonnie Davis,"5907 Angela Valley, New York, NY, 10001",10001,ID00071,END,Aware Non-Prescriber
C893,R8069,T,20250324,1,171,0,0,0,Timothy Mccarthy,"3359 Harrell Center, Atlanta, GA, 30301",30301,ID00075,END,Aware Non-Prescriber
C862,R5162,N,20250407,3,171,0,0,0,John Garcia,"59147 Keith Drives, New York, NY, 10001",10001,ID00096,CAR,Unaware
C552,R2904,B,20250118,1,171,7,18,25,Erin Simmons,"2413 Donna Village, New York, NY, 10001",10001,ID00028,NEP,Low-Volume Prescriber
C894,R4170,N,20250403,3,171,11,0,11,Jeremy Haynes,"4394 Gray Manor, New York, NY, 10001",10001,ID00065,NEP,New Adopter
C973,R2405,N,20250405,3,171,0,0,0,John Jones,"27478 Holland Mountains, Philadelphia, PA, 19103",19103,ID00101,END,Unaware
C367,R9783,T,20250323,3,172,0,16,16,Tammy Rose,"86335 Lawson Ranch Apt. 743, Los Angeles, CA, 90001",90001,ID00076,END,Aware Non-Prescriber
C613,R3276,T,20250302,2,172,0,19,19,Alan Wilson,"562 Steele Brooks, Philadelphia, PA, 19103",19103,ID00073,END,Aware Non-Prescriber
C276,R1641,B,20250331,1,171,18,50,68,Brian Perez,"2053 Nicole Mountains Suite 024, Los Angeles, CA, 90001",90001,ID00017,END,High-Volume Loyalist
C911,R3275,B,20250305,1,171,5,13,18,Ricky Harris,"082 Sanchez River, Chicago, IL, 60601",60601,ID00021,NEP,Low-Volume Prescriber
C931,R2015,T,20250304,2,172,0,16,16,Lori Clark,"889 Curtis Summit Apt. 266, Atlanta, GA, 30301",30301,ID00104,NEP,Unaware
C371,R3170,B,20250108,3,171,13,46,59,Jill King,"9346 Eric Highway, Los Angeles, CA, 90001",90001,ID00004,NEP,High-Volume Loyalist
C358,R4575,N,20250418,2,171,15,0,15,Dwayne Jones,"111 Vance Passage, Los Angeles, CA, 90001",90001,ID00054,END,New Adopter
C633,R2117,T,20250307,1,173,0,12,12,Catherine Elliott,"605 Jessica Lodge, Chicago, IL, 60601",60601,ID00066,CAR,Aware Non-Prescriber
C796,R6499,N,20250401,3,171,10,0,10,Karla Johnson,"53763 Lisa Lake Apt. 638, Houston, TX, 77001",77001,ID00056,NEP,New Adopter
C491,R7366,T,20250203,1,173,0,16,16,James Rhodes,"28272 Mary Lane, Houston, TX, 77001",77001,ID00136,CAR,Competitor Loyalist
C391,R1449,N,20250416,2,171,9,0,9,Dwayne Jones,"111 Vance Passage, Los Angeles, CA, 90001",90001,ID00054,END,New Adopter
C799,R7390,T,20250128,2,171,0,0,0,Sandra Mccoy,"96055 Megan Valley, Seattle, WA, 98101",98101,ID00133,CAR,Competitor Loyalist
C245,R9624,T,20250328,1,172,0,22,22,Renee Montoya,"42137 Susan Groves Suite 215, Houston, TX, 77001",77001,ID00129,NEP,Competitor Loyalist
C838,R1417,N,20250324,2,171,10,0,10,Amanda Gillespie,"16188 Krystal Place, Atlanta, GA, 30301",30301,ID00055,NEP,New Adopter
C990,R7853,B,20250314,2,171,9,18,27,Amanda Thompson,"199 Angela Circles, New York, NY, 10001",10001,ID00035,NEP,Low-Volume Prescriber
C383,R6889,T,20250331,3,173,0,14,14,Bonnie Davis,"5907 Angela Valley, New York, NY, 10001",10001,ID00071,END,Aware Non-Prescriber
C661,R7540,T,20250404,1,172,0,18,18,Audrey Ruiz,"8055 Martha Curve Apt. 773, Philadelphia, PA, 19103",19103,ID00100,END,Unaware
C662,R1870,T,20250106,2,172,0,23,23,Michelle Ross,"5963 Connor Spring, Houston, TX, 77001",77001,ID00127,NEP,Competitor Loyalist
C428,R4285,N,20250321,1,171,0,0,0,Ashley Leach,"30119 Gina Green Suite 169, Seattle, WA, 98101",98101,ID00121,NEP,Managed Care Restricted
C469,R2108,B,20250325,3,171,11,46,57,Paul Nelson PhD,"47328 Nancy Ville Suite 584, Atlanta, GA, 30301",30301,ID00019,END,High-Volume Loyalist
C410,R1172,T,20250220,2,173,0,13,13,Brittany Christensen,"828 Brandon Square Apt. 201, Chicago, IL, 60601",60601,ID00085,END,Aware Non-Prescriber
C826,R1518,N,20250330,2,171,0,0,0,Adam Reed,"091 Hale Junctions Apt. 822, Philadelphia, PA, 19103",19103,ID00118,CAR,Managed Care Restricted
C885,R3248,B,20241230,1,171,14,36,50,John Campbell,"53474 Jeffrey Estates, Seattle, WA, 98101",98101,ID00016,END,High-Volume Loyalist
C777,R2771,N,20250319,1,171,8,0,8,Caitlin Armstrong,"82936 Rebecca Drives, Chicago, IL, 60601",60601,ID00058,END,New Adopter
C762,R2181,T,20250125,3,172,0,25,25,Dean Dunn,"68691 Candace Center, Los Angeles, CA, 90001",90001,ID00067,NEP,Aware Non-Prescriber
C284,R9464,B,20250106,1,171,0,0,0,Peter Morse,"83908 Garcia Turnpike, Chicago, IL, 60601",60601,ID00074,CAR,Aware Non-Prescriber
C471,R5728,B,20250105,3,171,9,13,22,Dr. Ann Richards,"943 Valdez Haven, Chicago, IL, 60601",60601,ID00023,NEP,Low-Volume Prescriber
C712,R9908,T,20250425,1,173,0,23,23,Tammy Rose,"86335 Lawson Ranch Apt. 743, Los Angeles, CA, 90001",90001,ID00076,END,Aware Non-Prescriber
C686,R3502,T,20250221,1,172,0,19,19,Mrs. Kristin Rodriguez,"484 Caldwell Ways Apt. 822, New York, NY, 10001",10001,ID00105,NEP,Unaware
C688,R1060,T,20250424,2,171,0,0,0,Alejandro Gould,"48615 Craig Tunnel, New York, NY, 10001",10001,ID00138,NEP,Competitor Loyalist
C804,R8808,N,20250213,1,171,0,0,0,Olivia Ortiz,"37350 Rodriguez Garden, Houston, TX, 77001",77001,ID00107,CAR,Managed Care Restricted
C531,R9185,T,20250228,1,172,0,27,27,Jill Taylor,"10380 Owens Pine, Chicago, IL, 60601",60601,ID00082,END,Aware Non-Prescriber
C962,R6653,T,20250313,3,173,0,17,17,Sandra Mccoy,"96055 Megan Valley, Seattle, WA, 98101",98101,ID00133,CAR,Competitor Loyalist
C368,R3544,T,20250307,1,172,0,24,24,Tammy Rivera,"7813 Bradshaw Lane, Los Angeles, CA, 90001",90001,ID00084,NEP,Aware Non-Prescriber
C959,R3846,N,20250313,2,171,13,0,13,Benjamin Tucker,"9040 Smith Causeway, Los Angeles, CA, 90001",90001,ID00047,END,New Adopter
C613,R3276,T,20250302,2,172,0,22,22,Alan Wilson,"562 Steele Brooks, Philadelphia, PA, 19103",19103,ID00073,END,Aware Non-Prescriber
C720,R2161,N,20250214,1,171,0,0,0,Lisa Guerrero,"897 Amanda Circles, Houston, TX, 77001",77001,ID00094,NEP,Unaware
C873,R1003,T,20250422,3,171,0,0,0,Timothy Lewis,"60203 Cindy Lock, Atlanta, GA, 30301",30301,ID00126,CAR,Competitor Loyalist
C235,R2778,T,20250128,2,173,0,18,18,Timothy Mccarthy,"3359 Harrell Center, Atlanta, GA, 30301",30301,ID00075,END,Aware Non-Prescriber
C747,R2485,T,20250219,1,173,0,16,16,Alejandro Gould,"48615 Craig Tunnel, New York, NY, 10001",10001,ID00138,NEP,Competitor Loyalist
C310,R5560,B,20250217,1,171,10,13,23,Colton Ortiz,"002 Jessica Ford Suite 996, New York, NY, 10001",10001,ID00037,END,Low-Volume Prescriber
C851,R9548,B,20250330,1,171,16,35,51,Emma Moore,"7136 Stephanie Drive, Philadelphia, PA, 19103",19103,ID00008,CAR,High-Volume Loyalist
C109,R8052,T,20250405,2,173,0,14,14,Brittany Christensen,"828 Brandon Square Apt. 201, Chicago, IL, 60601",60601,ID00085,END,Aware Non-Prescriber
C450,R7885,T,20250303,1,172,0,26,26,Tiffany Mckee,"9995 Hill Loop, Chicago, IL, 60601",60601,ID00087,CAR,Unaware
C845,R9524,N,20250206,2,171,15,0,15,Eduardo Adams,"1440 Rodriguez Turnpike Suite 678, Houston, TX, 77001",77001,ID00057,END,New Adopter
C171,R9056,T,20250121,2,171,0,0,0,James Rhodes,"28272 Mary Lane, Houston, TX, 77001",77001,ID00136,CAR,Competitor Loyalist
C837,R4907,T,20250123,1,172,0,23,23,Tina Reed,"19172 Miller Vista, Philadelphia, PA, 19103",19103,ID00139,END,Competitor Loyalist
C620,R4389,N,20250410,3,171,12,0,12,Cynthia French,"3991 Brennan Underpass, Philadelphia, PA, 19103",19103,ID00062,END,New Adopter
C248,R3525,T,20250211,1,172,0,29,29,Scott Johnson,"09995 Charles Plain, Philadelphia, PA, 19103",19103,ID00132,CAR,Competitor Loyalist
C233,R3209,T,20250223,3,172,0,19,19,Audrey Ruiz,"8055 Martha Curve Apt. 773, Philadelphia, PA, 19103",19103,ID00100,END,Unaware
C771,R1396,T,20250212,3,172,0,13,13,John Jones,"27478 Holland Mountains, Philadelphia, PA, 19103",19103,ID00101,END,Unaware
C812,R4018,T,20250423,1,171,0,0,0,James Rhodes,"28272 Mary Lane, Houston, TX, 77001",77001,ID00136,CAR,Competitor Loyalist
C770,R6148,N,20250104,1,171,12,0,12,Taylor Hebert,"419 Mccarthy Falls, Houston, TX, 77001",77001,ID00061,NEP,New Adopter
C575,R7533,T,20250105,1,171,0,0,0,Sandra Mccoy,"96055 Megan Valley, Seattle, WA, 98101",98101,ID00133,CAR,Competitor Loyalist
C844,R2235,T,20250201,3,173,0,29,29,Bonnie Davis,"5907 Angela Valley, New York, NY, 10001",10001,ID00071,END,Aware Non-Prescriber
C662,R1870,T,20250106,2,171,0,0,0,Michelle Ross,"5963 Connor Spring, Houston, TX, 77001",77001,ID00127,NEP,Competitor Loyalist
C865,R4764,T,20250418,3,173,0,16,16,Stephen Smith,"295 Randolph Skyway, Philadelphia, PA, 19103",19103,ID00077,END,Aware Non-Prescriber
C543,R6183,T,20250217,2,172,0,10,10,Dr. Joseph Hughes,"89401 Robert Run Apt. 512, Atlanta, GA, 30301",30301,ID00068,CAR,Aware Non-Prescriber
C932,R7637,T,20250423,1,172,0,25,25,Bonnie Davis,"5907 Angela Valley, New York, NY, 10001",10001,ID00071,END,Aware Non-Prescriber
C692,R9918,T,20250321,2,172,0,13,13,Alan Wilson,"562 Steele Brooks, Philadelphia, PA, 19103",19103,ID00073,END,Aware Non-Prescriber
C796,R2341,B,20250411,3,171,6,13,19,Erin Simmons,"2413 Donna Village, New York, NY, 10001",10001,ID00028,NEP,Low-Volume Prescriber
C320,R5166,T,20250328,1,172,0,28,28,Jill Taylor,"10380 Owens Pine, Chicago, IL, 60601",60601,ID00082,END,Aware Non-Prescriber
C710,R2040,B,20250118,3,171,12,43,55,Stephanie Hawkins,"2393 Oneill Corner, New York, NY, 10001",10001,ID00002,CAR,High-Volume Loyalist
C195,R8901,T,20250421,3,172,0,21,21,Timothy Mccarthy,"3359 Harrell Center, Atlanta, GA, 30301",30301,ID00075,END,Aware Non-Prescriber
