Client_Number,Report_Number,RX_Type,Data_Date,Category,Product_Group,Bucket01,Bucket24,Bucket25,Prescriber_Name,Prescriber_Address,Prescriber_ZIP,SRA1_IMS_Doctor#,SRA2_Specialty
C698,R7242,B,20250226,2,171,20,38,58,Mariah Bailey,"1518 Austin Knoll, Philadelphia, PA, 19103",19103,ID00013,CAR
C996,R1630,N,20250307,3,171,0,0,0,Michael Brown,"87331 Julian Center Suite 186, Atlanta, GA, 30301",30301,ID00109,NEP
C880,R5564,B,20250212,3,171,15,33,48,Jillian Hall,"63505 Sheryl Mountains, Seattle, WA, 98101",98101,ID00015,CAR
C588,R2276,B,20250330,1,171,5,13,18,Edward Moore,"26617 Castillo Mission, Los Angeles, CA, 90001",90001,ID00040,END
C307,R3161,B,20250224,2,171,5,16,21,Edward Moore,"26617 Castillo Mission, Los Angeles, CA, 90001",90001,ID00040,END
C296,R5097,T,20250228,1,173,0,22,22,Eric Becker,"33578 Charles Camp Apt. 263, Seattle, WA, 98101",98101,ID00088,END
C108,R9362,T,20250110,3,173,0,26,26,Michelle Ross,"5963 Connor Spring, Houston, TX, 77001",77001,ID00127,NEP
C806,R9011,B,20250127,2,171,7,13,20,Nicholas Kelley,"579 Scott Squares, Los Angeles, CA, 90001",90001,ID00025,END
C368,R3544,T,20250307,1,172,0,21,21,Tammy Rivera,"7813 Bradshaw Lane, Los Angeles, CA, 90001",90001,ID00084,NEP
C194,R7550,N,20250131,2,171,0,0,0,James Steele,"0564 Katherine Tunnel Apt. 235, Atlanta, GA, 30301",30301,ID00097,END
C598,R8155,T,20250117,3,172,0,19,19,Michelle Peters,"68718 Rivera Motorway, Philadelphia, PA, 19103",19103,ID00128,END
C146,R4976,T,20250425,3,171,0,0,0,Michael Garcia,"29926 Kathryn Overpass, Los Angeles, CA, 90001",90001,ID00140,END
C685,R4212,T,20250218,3,173,0,27,27,Audrey Ruiz,"8055 Martha Curve Apt. 773, Philadelphia, PA, 19103",19103,ID00100,END
C226,R9966,N,20250221,2,171,14,0,14,Caitlin Armstrong,"82936 Rebecca Drives, Chicago, IL, 60601",60601,ID00058,END
C367,R9783,T,20250323,3,173,0,28,28,Tammy Rose,"86335 Lawson Ranch Apt. 743, Los Angeles, CA, 90001",90001,ID00076,END
C279,R2343,T,20250302,3,173,0,13,13,Bonnie Davis,"5907 Angela Valley, New York, NY, 10001",10001,ID00071,END
C619,R5918,N,20250321,2,171,13,0,13,Amanda Gillespie,"16188 Krystal Place, Atlanta, GA, 30301",30301,ID00055,NEP
C114,R7684,B,20250330,1,171,14,47,61,Mark Hunt,"050 Smith Land Apt. 308, Seattle, WA, 98101",98101,ID00011,END
C298,R6206,T,20250111,2,171,0,0,0,Amy Ward,"777 Aaron Junctions, Philadelphia, PA, 19103",19103,ID00070,CAR
C356,R8305,T,20250313,3,173,0,12,12,Bryan Johnson,"714 Watkins Unions Suite 059, Philadelphia, PA, 19103",19103,ID00137,END
C120,R6221,N,20250108,1,171,12,0,12,Heidi Lucero,"5415 Billy Key, Seattle, WA, 98101",98101,ID00049,NEP
C560,R6946,N,20250113,3,171,0,0,0,Anthony Green,"47110 Contreras Shoal Suite 755, Atlanta, GA, 30301",30301,ID00111,CAR
C668,R8081,T,20250401,2,173,0,10,10,Jill Taylor,"10380 Owens Pine, Chicago, IL, 60601",60601,ID00082,END
C521,R8161,T,20250310,2,173,0,23,23,Brittany Christensen,"828 Brandon Square Apt. 201, Chicago, IL, 60601",60601,ID00085,END
C457,R4624,T,20250308,2,172,0,22,22,Catherine Elliott,"605 Jessica Lodge, Chicago, IL, 60601",60601,ID00066,CAR
C125,R9468,T,20250217,2,173,0,13,13,Dean Dunn,"68691 Candace Center, Los Angeles, CA, 90001",90001,ID00067,NEP
C776,R5445,T,20250107,2,172,0,27,27,Mr. Scott Lopez,"99002 Vasquez Island Apt. 417, New York, NY, 10001",10001,ID00103,CAR
C842,R6169,N,20250206,3,171,0,0,0,Daniel Cooper,"16128 Tracy Burg Apt. 578, Atlanta, GA, 30301",30301,ID00117,CAR
C623,R8752,B,20250224,2,171,20,36,56,Kristin Elliott,"294 Schroeder Garden Apt. 703, Houston, TX, 77001",77001,ID00006,END
C610,R4271,T,20250122,3,172,0,22,22,Valerie Smith,"2865 Rodriguez Pike Apt. 296, New York, NY, 10001",10001,ID00080,NEP
C343,R4553,N,20250317,2,171,0,0,0,Ryan Evans,"1962 Burns Mission, Houston, TX, 77001",77001,ID00112,END
C945,R2562,T,20250121,2,173,0,24,24,Karen Moore,"1184 Rachel Mountains Apt. 047, Philadelphia, PA, 19103",19103,ID00098,NEP
C448,R9318,B,20250419,1,171,14,43,57,Mark Hunt,"050 Smith Land Apt. 308, Seattle, WA, 98101",98101,ID00011,END
C111,R3316,T,20250206,3,173,0,22,22,John Walsh,"0193 Mcclain Circles Suite 081, Philadelphia, PA, 19103",19103,ID00069,END
C794,R7333,B,20250107,2,171,11,47,58,Brian Perez,"2053 Nicole Mountains Suite 024, Los Angeles, CA, 90001",90001,ID00017,END
C552,R5201,B,20250204,3,171,5,15,20,Nicholas Kelley,"579 Scott Squares, Los Angeles, CA, 90001",90001,ID00025,END
C316,R7760,T,20250404,3,172,0,30,30,John Walsh,"0193 Mcclain Circles Suite 081, Philadelphia, PA, 19103",19103,ID00069,END
C172,R5979,T,20250104,3,173,0,12,12,Lisa Guerrero,"897 Amanda Circles, Houston, TX, 77001",77001,ID00094,NEP
C243,R1584,T,20250403,1,171,0,0,0,Tina Reed,"19172 Miller Vista, Philadelphia, PA, 19103",19103,ID00139,END
C523,R8904,T,20250327,2,173,0,22,22,Stephen Smith,"295 Randolph Skyway, Philadelphia, PA, 19103",19103,ID00077,END
C283,R1840,N,20250119,1,171,0,0,0,Ryan Evans,"1962 Burns Mission, Houston, TX, 77001",77001,ID00112,END
C271,R4454,T,20250401,3,173,0,27,27,Sandra Mccoy,"96055 Megan Valley, Seattle, WA, 98101",98101,ID00133,CAR
C362,R1804,T,20250329,3,173,0,26,26,Lisa Guerrero,"897 Amanda Circles, Houston, TX, 77001",77001,ID00094,NEP
C845,R1691,N,20250119,3,171,0,0,0,Amy Terry,"7327 Gary Ways Suite 354, Seattle, WA, 98101",98101,ID00089,NEP
C258,R7084,T,20250328,3,173,0,21,21,Jeffrey Salazar,"8770 Thomas Wells Apt. 251, New York, NY, 10001",10001,ID00090,NEP
C862,R5162,N,20250407,3,171,0,0,0,John Garcia,"59147 Keith Drives, New York, NY, 10001",10001,ID00096,CAR
C418,R9303,N,20250305,1,171,9,0,9,Stephanie Jackson,"336 Catherine Terrace Apt. 956, Philadelphia, PA, 19103",19103,ID00053,CAR
C248,R3525,T,20250211,1,172,0,29,29,Scott Johnson,"09995 Charles Plain, Philadelphia, PA, 19103",19103,ID00132,CAR
C158,R4552,T,20250319,1,173,0,18,18,John Church,"5132 Crystal Prairie, Los Angeles, CA, 90001",90001,ID00135,NEP
C416,R8311,N,20250221,2,171,0,0,0,Ryan Evans,"1962 Burns Mission, Houston, TX, 77001",77001,ID00112,END
C110,R1138,T,20250208,3,172,0,13,13,John Church,"5132 Crystal Prairie, Los Angeles, CA, 90001",90001,ID00135,NEP
C689,R9269,T,20250225,3,173,0,23,23,Katrina Torres,"4105 King Ridges Apt. 254, Seattle, WA, 98101",98101,ID00099,NEP
C146,R7563,B,20250402,2,171,8,15,23,Dr. Ann Richards,"943 Valdez Haven, Chicago, IL, 60601",60601,ID00023,NEP
C942,R1681,B,20250408,3,171,7,18,25,Dylan George,"894 Davis Lakes Suite 123, Philadelphia, PA, 19103",19103,ID00038,END
C798,R9797,B,20250310,1,171,20,33,53,Stephanie Hawkins,"2393 Oneill Corner, New York, NY, 10001",10001,ID00002,CAR
C955,R7319,N,20250219,2,171,12,0,12,Jocelyn Norris,"170 Bonnie Isle Apt. 987, New York, NY, 10001",10001,ID00060,END
C973,R2405,T,20250405,3,172,0,19,19,John Jones,"27478 Holland Mountains, Philadelphia, PA, 19103",19103,ID00101,END
C998,R6187,T,20250125,3,171,0,0,0,Timothy Lewis,"60203 Cindy Lock, Atlanta, GA, 30301",30301,ID00126,CAR
C333,R1841,B,20250201,3,171,9,19,28,Jennifer Rodriguez,"943 Amber Park, Los Angeles, CA, 90001",90001,ID00024,NEP
C303,R9202,T,20250110,1,173,0,11,11,Lori Clark,"889 Curtis Summit Apt. 266, Atlanta, GA, 30301",30301,ID00104,NEP
C259,R2747,B,20250416,3,171,0,0,0,Valerie Smith,"2865 Rodriguez Pike Apt. 296, New York, NY, 10001",10001,ID00080,NEP
C390,R9445,B,20250410,3,171,12,32,44,Kristin Elliott,"294 Schroeder Garden Apt. 703, Houston, TX, 77001",77001,ID00006,END
C121,R4770,B,20250130,1,171,11,40,51,Andrea Miller,"677 Johnson Rue, Chicago, IL, 60601",60601,ID00003,END
C558,R7505,T,20250214,2,173,0,12,12,John Garcia,"59147 Keith Drives, New York, NY, 10001",10001,ID00096,CAR
C644,R7739,B,20250324,2,171,5,10,15,Kristin Woods,"6290 Harrington Pass, Atlanta, GA, 30301",30301,ID00032,NEP
C449,R7436,T,20250127,1,173,0,30,30,Mrs. Kristin Rodriguez,"484 Caldwell Ways Apt. 822, New York, NY, 10001",10001,ID00105,NEP
C820,R9542,T,20250323,2,173,0,10,10,Alan Wilson,"562 Steele Brooks, Philadelphia, PA, 19103",19103,ID00073,END
C372,R9667,T,20250414,3,172,0,24,24,Lisa Guerrero,"897 Amanda Circles, Houston, TX, 77001",77001,ID00094,NEP
C629,R5454,T,20250320,1,173,0,20,20,David Mccoy,"65524 Thomas Track, Chicago, IL, 60601",60601,ID00086,CAR
C687,R3255,B,20250215,2,171,17,32,49,Dr. Cynthia Miller,"725 Mills Forge, Seattle, WA, 98101",98101,ID00020,NEP
C512,R4850,N,20250304,1,171,14,0,14,Taylor Hebert,"419 Mccarthy Falls, Houston, TX, 77001",77001,ID00061,NEP
C673,R6885,T,20241230,3,173,0,16,16,Michelle Ross,"5963 Connor Spring, Houston, TX, 77001",77001,ID00127,NEP
C799,R2220,N,20250205,2,171,10,0,10,Jeremy Haynes,"4394 Gray Manor, New York, NY, 10001",10001,ID00065,NEP
C797,R6295,B,20250227,3,171,19,44,63,John Campbell,"53474 Jeffrey Estates, Seattle, WA, 98101",98101,ID00016,END
C789,R7436,T,20250118,1,172,0,18,18,Katrina Torres,"4105 King Ridges Apt. 254, Seattle, WA, 98101",98101,ID00099,NEP
C488,R2650,T,20241231,3,173,0,11,11,Reginald Baker,"502 John Extension, Houston, TX, 77001",77001,ID00081,NEP
C180,R2403,B,20250129,1,171,13,48,61,Stephanie Hawkins,"2393 Oneill Corner, New York, NY, 10001",10001,ID00002,CAR
C353,R1549,T,20250407,2,172,0,14,14,Eric Becker,"33578 Charles Camp Apt. 263, Seattle, WA, 98101",98101,ID00088,END
C112,R5731,T,20250420,2,173,0,22,22,Sandra Mccoy,"96055 Megan Valley, Seattle, WA, 98101",98101,ID00133,CAR
C859,R2279,T,20250228,3,171,0,0,0,Jessica Matthews,"0909 Miller Dam Apt. 891, Los Angeles, CA, 90001",90001,ID00130,END
C915,R1118,T,20250411,2,171,0,0,0,Brittany Christensen,"828 Brandon Square Apt. 201, Chicago, IL, 60601",60601,ID00085,END
C379,R8381,B,20250408,2,171,5,20,25,Jonathan Lee,"582 Allison Glens Apt. 728, Chicago, IL, 60601",60601,ID00033,NEP
C549,R1175,T,20250408,1,173,0,13,13,Suzanne Barnett,"169 Carol Lights Apt. 195, New York, NY, 10001",10001,ID00078,CAR
C810,R2823,T,20241231,2,173,0,30,30,John Thomas,"03583 Duncan Walk Apt. 643, Seattle, WA, 98101",98101,ID00102,CAR
C921,R8178,N,20250112,2,171,15,0,15,Jocelyn Norris,"170 Bonnie Isle Apt. 987, New York, NY, 10001",10001,ID00060,END
C554,R9290,N,20250425,1,171,0,0,0,Joy Diaz,"140 Donna Trafficway, Los Angeles, CA, 90001",90001,ID00119,CAR
C661,R8913,N,20250405,2,171,0,0,0,John Thomas,"03583 Duncan Walk Apt. 643, Seattle, WA, 98101",98101,ID00102,CAR
C971,R5552,T,20250304,1,173,0,18,18,Luis Lozano,"59703 David Ford Apt. 715, Los Angeles, CA, 90001",90001,ID00131,END
C556,R3608,T,20250405,3,172,0,25,25,Jonathan Joseph,"5976 Cabrera Orchard Suite 124, Chicago, IL, 60601",60601,ID00072,CAR
C507,R4638,T,20250302,1,172,0,23,23,Reginald Baker,"502 John Extension, Houston, TX, 77001",77001,ID00081,NEP
C273,R6729,T,20250407,2,173,0,17,17,John Jones,"27478 Holland Mountains, Philadelphia, PA, 19103",19103,ID00101,END
C249,R3450,T,20250418,2,173,0,22,22,Jill Taylor,"10380 Owens Pine, Chicago, IL, 60601",60601,ID00082,END
C716,R2938,B,20250122,1,171,0,0,0,Peter Morse,"83908 Garcia Turnpike, Chicago, IL, 60601",60601,ID00074,CAR
C899,R2212,T,20250131,1,171,0,0,0,James Rhodes,"28272 Mary Lane, Houston, TX, 77001",77001,ID00136,CAR
C865,R4764,T,20250418,3,171,0,0,0,Stephen Smith,"295 Randolph Skyway, Philadelphia, PA, 19103",19103,ID00077,END
C799,R4945,B,20250109,3,171,16,49,65,John Villa,"71110 Garza Ridge Apt. 137, Los Angeles, CA, 90001",90001,ID00012,NEP
C468,R2767,T,20250324,3,173,0,20,20,Mr. Scott Lopez,"99002 Vasquez Island Apt. 417, New York, NY, 10001",10001,ID00103,CAR
C844,R2235,T,20250201,3,171,0,0,0,Bonnie Davis,"5907 Angela Valley, New York, NY, 10001",10001,ID00071,END
C254,R1241,T,20250128,1,173,0,25,25,Tiffany Mckee,"9995 Hill Loop, Chicago, IL, 60601",60601,ID00087,CAR
C738,R9369,T,20250316,1,171,0,0,0,Timothy Mccarthy,"3359 Harrell Center, Atlanta, GA, 30301",30301,ID00075,END
C271,R4454,T,20250401,3,173,0,10,10,Sandra Mccoy,"96055 Megan Valley, Seattle, WA, 98101",98101,ID00133,CAR
C577,R6145,B,20250118,1,171,6,17,23,Michael Campbell,"272 Glass Prairie, Atlanta, GA, 30301",30301,ID00045,END
C933,R2636,T,20250313,3,173,0,14,14,Jill Taylor,"10380 Owens Pine, Chicago, IL, 60601",60601,ID00082,END
C171,R9056,T,20250121,2,171,0,0,0,James Rhodes,"28272 Mary Lane, Houston, TX, 77001",77001,ID00136,CAR
C972,R3267,N,20250111,1,171,8,0,8,Jocelyn Norris,"170 Bonnie Isle Apt. 987, New York, NY, 10001",10001,ID00060,END
C684,R7366,T,20250111,1,173,0,10,10,Manuel Young,"36774 James Fords Apt. 798, New York, NY, 10001",10001,ID00093,NEP
C629,R5454,T,20250320,1,172,0,22,22,David Mccoy,"65524 Thomas Track, Chicago, IL, 60601",60601,ID00086,CAR
C686,R3406,T,20250116,3,172,0,25,25,Peter Morse,"83908 Garcia Turnpike, Chicago, IL, 60601",60601,ID00074,CAR
C889,R6478,T,20250408,1,173,0,20,20,Karen Moore,"1184 Rachel Mountains Apt. 047, Philadelphia, PA, 19103",19103,ID00098,NEP
C384,R1824,N,20250209,1,171,13,0,13,Taylor Hebert,"419 Mccarthy Falls, Houston, TX, 77001",77001,ID00061,NEP
C874,R1745,T,20250322,3,172,0,25,25,Dr. Joseph Hughes,"89401 Robert Run Apt. 512, Atlanta, GA, 30301",30301,ID00068,CAR
C159,R5005,B,20250207,3,171,8,13,21,Christopher Gamble,"53267 Kathleen Extension, Chicago, IL, 60601",60601,ID00042,CAR
C742,R2262,B,20250107,2,171,10,19,29,Scott Turner,"0766 Schneider Ways, New York, NY, 10001",10001,ID00043,CAR
C233,R3209,N,20250223,3,171,0,0,0,Audrey Ruiz,"8055 Martha Curve Apt. 773, Philadelphia, PA, 19103",19103,ID00100,END
C522,R4080,T,20250412,2,172,0,26,26,David Mccoy,"65524 Thomas Track, Chicago, IL, 60601",60601,ID00086,CAR
C192,R5661,T,20250306,1,172,0,22,22,Suzanne Barnett,"169 Carol Lights Apt. 195, New York, NY, 10001",10001,ID00078,CAR
C140,R3518,T,20250227,3,172,0,22,22,Catherine Elliott,"605 Jessica Lodge, Chicago, IL, 60601",60601,ID00066,CAR
C629,R5121,T,20250214,3,172,0,25,25,Alan Wilson,"562 Steele Brooks, Philadelphia, PA, 19103",19103,ID00073,END
C705,R8480,T,20250116,3,173,0,30,30,Brittany Christensen,"828 Brandon Square Apt. 201, Chicago, IL, 60601",60601,ID00085,END
C829,R1352,T,20250226,3,173,0,20,20,Lori Clark,"889 Curtis Summit Apt. 266, Atlanta, GA, 30301",30301,ID00104,NEP
C111,R7266,N,20250417,3,171,0,0,0,Katrina Torres,"4105 King Ridges Apt. 254, Seattle, WA, 98101",98101,ID00099,NEP
C607,R4203,B,20250214,2,171,6,20,26,Daniel Smith,"404 Brenda Plains Suite 108, Atlanta, GA, 30301",30301,ID00034,END
C353,R5537,B,20250212,2,171,7,12,19,Ruth Rodriguez,"72952 Anthony Ways, Houston, TX, 77001",77001,ID00041,CAR
C738,R3389,N,20250318,2,171,0,0,0,John Jones,"27478 Holland Mountains, Philadelphia, PA, 19103",19103,ID00101,END
C675,R9281,B,20250302,1,171,6,16,22,Dylan George,"894 Davis Lakes Suite 123, Philadelphia, PA, 19103",19103,ID00038,END
